2026/05/28 17:07:41 [warn] 209#209: *5265 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/02/0000000020 while reading upstream, client: 191.30.134.8, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/vendors.72f5abfc62ab60366b2a.entry.js HTTP/2.0", upstream: "http://172.20.0.16:8088/static/assets/vendors.72f5abfc62ab60366b2a.entry.js", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/login/"
2026/06/11 13:20:23 [warn] 212#212: *343 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/vendors.72f5abfc62ab60366b2a.entry.js HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/vendors.72f5abfc62ab60366b2a.entry.js", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=mQ29-u9xyUX9Yr7Xkdxq_iE0EpUVVNuKOYEwFgR8ycd93oQ50kK-Y6h7TD1MCE9j&dataset_id=24"
2026/06/11 13:27:46 [warn] 213#213: *493 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.b751c252..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.b751c252..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:27:46 [warn] 213#213: *493 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.50c780c0..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.50c780c0..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:27:46 [warn] 213#213: *493 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.4a9b5e62..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.4a9b5e62..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:27:46 [warn] 213#213: *493 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.c2670397..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.c2670397..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:41:00 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/00/0000000009 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/BarChart3.6c1382b7..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/BarChart3.6c1382b7..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/01/0000000010 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.9506c7f0..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.9506c7f0..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/01/0000000011 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.d2ebb8b7..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.d2ebb8b7..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/01/0000000012 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.22e46caa..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.22e46caa..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/01/0000000013 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.ea1ff627..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.ea1ff627..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/01/0000000014 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.f2cfa9c4..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.f2cfa9c4..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:44:30 [warn] 206#206: *666 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/01/0000000015 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.a463d279..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.a463d279..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/01/0000000016 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.f6ecb617..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.f6ecb617..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/01/0000000017 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.e9235c2d..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.e9235c2d..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/01/0000000018 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.c501c39d..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.c501c39d..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 13:55:44 [warn] 206#206: *784 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/01/0000000019 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/thumbnail.1e4e5b08..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/thumbnail.1e4e5b08..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:21 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/02/0000000020 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/Treemap2.0568794f..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/Treemap2.0568794f..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:21 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/02/0000000021 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/Treemap4.6e60b127..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/Treemap4.6e60b127..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 14:02:22 [warn] 206#206: *845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/02/0000000022 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/treemap_v2_1.f997bb13..png HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/treemap_v2_1.f997bb13..png", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/superset/explore/?form_data_key=9zN9Xj8a0bGcoTXxhtkX1ReZMU7TtS3W3I101eVzqTGNcRh6T2TkUwsXxxGbYJg_&dataset_id=29"
2026/06/11 15:59:06 [warn] 206#206: *1287 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/02/0000000023 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/example1.a58bab57..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/example1.a58bab57..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
2026/06/11 15:59:06 [warn] 206#206: *1287 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 191.30.128.73, server: superset.project-bigdata.duckdns.org, request: "GET /static/assets/example4.94717fd8..jpg HTTP/2.0", upstream: "http://172.20.0.29:8088/static/assets/example4.94717fd8..jpg", host: "superset.project-bigdata.duckdns.org", referrer: "https://superset.project-bigdata.duckdns.org/chart/add"
